order_id;order_date;ship_date;customer;manufactory;product_name;segment;category;subcategory;region;zip;city;state;country;discount;profit;quantity;sales;profit_margin
US-2020-103800;3/1/2019;7/1/2019;Darren Powers;Message Book;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg,, 200 Dupl, Sets/Book";Consumer;Office Supplies;Paper;Central;77095;Houston;Texas;United States;20%;55512,00;2;16448,0;0,3
US-2020-112326;4/1/2019;8/1/2019;Phillina Ober;GBC;GBC Standard Plastic Binding Systems Combs;Home Office;Office Supplies;Binders;Central;60540;Naperville;Illinois;United States;80%;-5487,00;2;3,5;-1,6
US-2020-112326;4/1/2019;8/1/2019;Phillina Ober;Avery;Avery 508;Home Office;Office Supplies;Labels;Central;60540;Naperville;Illinois;United States;20%;42717,00;3;11784,0;0,4
US-2020-112326;4/1/2019;8/1/2019;Phillina Ober;SAFCO;SAFCO Boltless Steel Shelving;Home Office;Office Supplies;Storage;Central;60540;Naperville;Illinois;United States;20%;-647748,00;3;272736,0;-0,2
US-2020-141817;5/1/2019;12/1/2019;Mick Brown;Avery;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;Consumer;Office Supplies;Art;East;19143;Philadelphia;Pennsylvania;United States;20%;4884,00;3;19536,0;0,3
US-2020-106054;6/1/2019;7/1/2019;Jack O'Briant;Dixon;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;Corporate;Office Supplies;Art;South;30605;Athens;Georgia;United States;0%;52398,00;3;12,8;0,4
US-2020-130813;6/1/2019;8/1/2019;Lycoris Saunders;Xerox;Xerox 225;Consumer;Office Supplies;Paper;West;90049;Los Angeles;California;United States;0%;93312,00;3;19,4;0,5
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Global;Global Deluxe High-Back Manager's Chair;Home Office;Furniture;Chairs;South;42420;Henderson;Kentucky;United States;0%;7464078,00;9;2573,8;0,3
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Rogers;Rogers Handheld Barrel Pencil Sharpener;Home Office;Office Supplies;Art;South;42420;Henderson;Kentucky;United States;0%;14796,00;2;5,5;0,3
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Ibico;Ibico Hi-Tech Manual Binding System;Home Office;Office Supplies;Binders;South;42420;Henderson;Kentucky;United States;0%;274491,00;2;610,0;0,5
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Alliance;Alliance Super-Size Bands, Assorted Sizes;Home Office;Office Supplies;Fasteners;South;42420;Henderson;Kentucky;United States;0%;0,31;4;31,1;0,0
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Southworth;Southworth 25% Cotton Granite Paper & Envelopes;Home Office;Office Supplies;Paper;South;42420;Henderson;Kentucky;United States;0%;30084,00;1;6,5;0,5
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;Other;Wireless Extenders zBoost YX545 SOHO Signal Booster;Home Office;Technology;Phones;South;42420;Henderson;Kentucky;United States;0%;2041092,00;4;756,0;0,3
US-2020-167199;6/1/2019;10/1/2019;Maria Etezadi;GE;GE 30524EE4;Home Office;Technology;Phones;South;42420;Henderson;Kentucky;United States;0%;1136742,00;2;392,0;0,3
US-2020-105417;7/1/2019;12/1/2019;Vivek Sundaresam;Howard Miller;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";Consumer;Furniture;Furnishings;Central;77340;Huntsville;Texas;United States;60%;-537096,00;3;76728,0;-0,7
US-2020-105417;7/1/2019;12/1/2019;Vivek Sundaresam;Acco;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";Consumer;Office Supplies;Binders;Central;77340;Huntsville;Texas;United States;80%;-182525,00;7;10,4;-1,8
US-2020-135405;9/1/2019;1/13/2019;Melanie Seite;Newell;Newell 312;Consumer;Office Supplies;Art;Central;78041;Laredo;Texas;United States;20%;1168,00;2;9344,0;0,1
US-2020-135405;9/1/2019;1/13/2019;Melanie Seite;Memorex;Memorex Micro Travel Drive 8 GB;Consumer;Technology;Accessories;Central;78041;Laredo;Texas;United States;20%;9,75;3;31,2;0,3
US-2020-149020;10/1/2019;1/15/2019;Anthony Jacobs;Howard Miller;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";Corporate;Furniture;Furnishings;South;22153;Springfield;Virginia;United States;0%;212954,00;1;51,9;0,4
US-2020-149020;10/1/2019;1/15/2019;Anthony Jacobs;Avery;Avery 482;Corporate;Office Supplies;Labels;South;22153;Springfield;Virginia;United States;0%;13583,00;1;2,9;0,5
US-2020-130092;11/1/2019;1/14/2019;Seth Vernon;DAX;DAX Value U-Channel Document Frames, Easel Back;Consumer;Furniture;Furnishings;East;19901;Dover;Delaware;United States;0%;30814,00;2;9,9;0,3
US-2020-109232;1/13/2019;1/16/2019;Natalie DeCherney;Global;Global Highback Leather Tilter in Burgundy;Consumer;Furniture;Chairs;South;29464;Mount Pleasant;South Carolina;United States;0%;873504,00;6;545,9;0,2
US-2020-118192;1/13/2019;1/18/2019;Michael Moore;Avery;Avery Metallic Poly Binders;Consumer;Office Supplies;Binders;East;43055;Newark;Ohio;United States;70%;-25212,00;2;3438,0;-0,7
US-2020-118192;1/13/2019;1/18/2019;Michael Moore;Xerox;Xerox 1923;Consumer;Office Supplies;Paper;East;43055;Newark;Ohio;United States;20%;130928,00;7;37408,0;0,4
US-2020-157147;1/13/2019;1/18/2019;Brian Dahlen;O'Sullivan;O'Sullivan Elevations Bookcase, Cherry Finish;Consumer;Furniture;Bookcases;West;94109;San Francisco;California;United States;15%;39294,00;3;333999,0;0,0
US-2020-157147;1/13/2019;1/18/2019;Brian Dahlen;Other;4009 Highlighters by Sanford;Consumer;Office Supplies;Art;West;94109;San Francisco;California;United States;0%;6567,00;5;19,9;0,3
US-2020-157147;1/13/2019;1/18/2019;Brian Dahlen;Tennsco;Tennsco 6- and 18-Compartment Lockers;Consumer;Office Supplies;Storage;West;94109;San Francisco;California;United States;0%;238653,00;5;1325,9;0,2
US-2020-162775;1/13/2019;1/15/2019;Chris Selesnick;3-ring staple pack;3-ring staple pack;Corporate;Office Supplies;Binders;South;71111;Bossier City;Louisiana;United States;0%;27072,00;3;5,6;0,5
US-2020-162775;1/13/2019;1/15/2019;Chris Selesnick;Other;Brown Kraft Recycled Envelopes;Corporate;Office Supplies;Envelopes;South;71111;Bossier City;Louisiana;United States;0%;25,47;3;50,9;0,5
US-2020-162775;1/13/2019;1/15/2019;Chris Selesnick;Staple envelope;Staple envelope;Corporate;Office Supplies;Envelopes;South;71111;Bossier City;Louisiana;United States;0%;53392,00;2;11,4;0,5
US-2020-162775;1/13/2019;1/15/2019;Chris Selesnick;Fellowes;Fellowes Stor/Drawer Steel Plus Storage Drawers;Corporate;Office Supplies;Storage;South;71111;Bossier City;Louisiana;United States;0%;343548,00;6;572,6;0,1
US-2020-162775;1/13/2019;1/15/2019;Chris Selesnick;Plantronics;Plantronics S12 Corded Telephone Headset System;Corporate;Technology;Accessories;South;71111;Bossier City;Louisiana;United States;0%;258696,00;6;646,7;0,4
US-2020-149524;1/14/2019;1/15/2019;Brendan Sweed;Sauder;Sauder Cornerstone Collection Library;Corporate;Furniture;Bookcases;East;19140;Philadelphia;Pennsylvania;United States;50%;-532856,00;4;62,0;-0,9
US-2020-103366;1/15/2019;1/17/2019;Erica Hackney;Logitech;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;Consumer;Technology;Accessories;South;30076;Roswell;Georgia;United States;0%;65978,00;5;150,0;0,4
US-2020-115791;1/16/2019;1/18/2019;Delfina Latchford;DAX;DAX Black Cherry Wood-Tone Poster Frame;Consumer;Furniture;Furnishings;East;19134;Philadelphia;Pennsylvania;United States;20%;285984,00;6;127104,0;0,2
US-2020-115791;1/16/2019;1/18/2019;Delfina Latchford;GBC;GBC Linen Binding Covers;Consumer;Office Supplies;Binders;East;19134;Philadelphia;Pennsylvania;United States;70%;-136312,00;2;18588,0;-0,7
US-2020-115791;1/16/2019;1/18/2019;Delfina Latchford;Other;Round Specialty Laser Printer Labels;Consumer;Office Supplies;Labels;East;19134;Philadelphia;Pennsylvania;United States;20%;101493,00;3;30072,0;0,3
US-2020-115791;1/16/2019;1/18/2019;Delfina Latchford;AT&T;AT&T 841000 Phone;Consumer;Technology;Phones;East;19134;Philadelphia;Pennsylvania;United States;40%;-31,05;3;124,2;-0,3
US-2020-123477;1/18/2019;1/21/2019;David Wiener;Fellowes;Fellowes Mighty 8 Compact Surge Protector;Corporate;Office Supplies;Appliances;West;97477;Springfield;Oregon;United States;20%;64864,00;4;64864,0;0,1
US-2020-146591;1/19/2019;1/20/2019;Toby Swindell;O'Sullivan;O'Sullivan 4-Shelf Bookcase in Odessa Pine;Consumer;Furniture;Bookcases;West;85254;Scottsdale;Arizona;United States;70%;-320597,00;5;181,5;-1766666667,0
US-2020-146591;1/19/2019;1/20/2019;Toby Swindell;GBC;GBC Standard Recycled Report Covers, Clear Plastic Sheets;Consumer;Office Supplies;Binders;West;85254;Scottsdale;Arizona;United States;70%;-23716,00;10;32,3;-0,7
US-2020-146591;1/19/2019;1/20/2019;Toby Swindell;Tyvek;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;Consumer;Office Supplies;Envelopes;West;85254;Scottsdale;Arizona;United States;20%;36693,00;5;108,7;0,3
